Iteration,BatchSize,UserIndex,UserAddress,PenaltyAmount,FinalBill,Latency(s)
1,4,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,33000000000000000,967000000000000000,0.464
1,4,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,33000000000000000,967000000000000000,0.632
1,4,3,0xCAB59dCB2F67f9393d0e4B1aDA4A44Dc46d06Ef7,33000000000000000,967000000000000000,0.436
1,4,4,0x027081Bdc50d261986D1A325e41eC320C142e880,33000000000000000,967000000000000000,0.448
2,4,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,33000000000000000,967000000000000000,0.806
2,4,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,33000000000000000,967000000000000000,0.504
2,4,3,0xCAB59dCB2F67f9393d0e4B1aDA4A44Dc46d06Ef7,33000000000000000,967000000000000000,0.459
2,4,4,0x027081Bdc50d261986D1A325e41eC320C142e880,33000000000000000,967000000000000000,0.745
3,4,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,33000000000000000,967000000000000000,0.404
3,4,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,33000000000000000,967000000000000000,0.418
3,4,3,0xCAB59dCB2F67f9393d0e4B1aDA4A44Dc46d06Ef7,33000000000000000,967000000000000000,0.401
3,4,4,0x027081Bdc50d261986D1A325e41eC320C142e880,33000000000000000,967000000000000000,0.568
4,4,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,33000000000000000,967000000000000000,0.428
4,4,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,33000000000000000,967000000000000000,0.671
4,4,3,0xCAB59dCB2F67f9393d0e4B1aDA4A44Dc46d06Ef7,33000000000000000,967000000000000000,0.394
4,4,4,0x027081Bdc50d261986D1A325e41eC320C142e880,33000000000000000,967000000000000000,0.463
5,4,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,33000000000000000,967000000000000000,0.41
5,4,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,33000000000000000,967000000000000000,0.416
5,4,3,0xCAB59dCB2F67f9393d0e4B1aDA4A44Dc46d06Ef7,33000000000000000,967000000000000000,0.391
5,4,4,0x027081Bdc50d261986D1A325e41eC320C142e880,33000000000000000,967000000000000000,0.53
6,4,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,33000000000000000,967000000000000000,0.413
6,4,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,33000000000000000,967000000000000000,0.42
6,4,3,0xCAB59dCB2F67f9393d0e4B1aDA4A44Dc46d06Ef7,33000000000000000,967000000000000000,0.653
6,4,4,0x027081Bdc50d261986D1A325e41eC320C142e880,33000000000000000,967000000000000000,0.561
7,4,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,33000000000000000,967000000000000000,0.495
7,4,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,33000000000000000,967000000000000000,0.426
7,4,3,0xCAB59dCB2F67f9393d0e4B1aDA4A44Dc46d06Ef7,33000000000000000,967000000000000000,0.512
7,4,4,0x027081Bdc50d261986D1A325e41eC320C142e880,33000000000000000,967000000000000000,0.483
8,4,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,33000000000000000,967000000000000000,0.43
8,4,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,33000000000000000,967000000000000000,0.425
8,4,3,0xCAB59dCB2F67f9393d0e4B1aDA4A44Dc46d06Ef7,33000000000000000,967000000000000000,0.453
8,4,4,0x027081Bdc50d261986D1A325e41eC320C142e880,33000000000000000,967000000000000000,0.616
9,4,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,33000000000000000,967000000000000000,0.451
9,4,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,33000000000000000,967000000000000000,0.419
9,4,3,0xCAB59dCB2F67f9393d0e4B1aDA4A44Dc46d06Ef7,33000000000000000,967000000000000000,0.442
9,4,4,0x027081Bdc50d261986D1A325e41eC320C142e880,33000000000000000,967000000000000000,0.469
10,4,1,0x3f07a8d2f0c32c594F6544547047E7A9694eA07F,33000000000000000,967000000000000000,0.428
10,4,2,0xfCAABA9f9c779a60D23e6CB8c51109E07Eecc96C,33000000000000000,967000000000000000,0.505
10,4,3,0xCAB59dCB2F67f9393d0e4B1aDA4A44Dc46d06Ef7,33000000000000000,967000000000000000,0.401
10,4,4,0x027081Bdc50d261986D1A325e41eC320C142e880,33000000000000000,967000000000000000,0.437
